ymd,category,addr,notes,count
2016/04/17,工事場ねらい,東初石5丁目,,1
2016/04/18,車上ねらい,駒木台,,1
2016/04/18,非侵入窃盗,西初石6丁目,未遂,1
2016/04/19,忍び込み,松ヶ丘1丁目,集合住宅,1
2016/04/19,自転車盗,加4丁目,,1
2016/04/20,忍び込み,南流山4丁目,戸建,1
2016/04/20,暴行,南流山4丁目,,1
2016/04/21,車上ねらい,大字中野久木,,1
2016/04/21,空き巣,東初石5丁目,戸建,1
2016/04/21,自転車盗,東初石2丁目,,1
2016/04/21,器物損壊,南流山8丁目,,1
2016/04/21,器物損壊,野々下2丁目,,1
2016/04/22,オートバイ盗,大字三輪野山1丁目,,1
2016/04/22,自転車盗,十太夫,,1
2016/04/22,自転車盗,大字東深井,,1
2016/04/22,自転車盗,松ヶ丘6丁目,,1
2016/04/22,自転車盗,南流山6丁目,,1
2016/04/22,自転車盗,江戸川台西4丁目,,1
2016/04/22,傷害,南流山2丁目,,1
2016/04/22,詐欺,十太夫,,1
2016/04/22,非侵入窃盗,西初石6丁目,,1
2016/04/22,非侵入窃盗,大字木,,1
2016/04/22,非侵入窃盗,野々下3丁目,,1
2016/04/22,非侵入窃盗,大字流山,,1
2016/04/24,オートバイ盗,富士見台2丁目,,1
2016/04/24,車上ねらい,流山2丁目,,1
2016/04/24,自転車盗,前平井,,1
2016/04/24,器物損壊,富士見台2丁目,,1
2016/04/24,器物損壊,南流山7丁目,,1
2016/04/24,非侵入窃盗,南流山6丁目,,1
2016/04/25,オートバイ盗,加6丁目,,1
2016/04/25,自転車盗,鰭ヶ崎,,1
2016/04/25,器物損壊,富士見台2丁目,,1
2016/04/25,器物損壊,古間木,,1
2016/04/25,振り込め詐欺,江戸川台東2丁目,,1
2016/04/25,万引き,西初石6丁目,,1
2016/04/26,忍び込み,東初石5丁目,戸建,1
2016/04/26,器物損壊,大字三輪野山5丁目,,1
2016/04/27,自動車盗,流山8丁目,,1
2016/04/27,車上ねらい,富士見台2丁目,,1
2016/04/27,自販機ねらい,東初石2丁目,,1
2016/04/27,空き巣,市野谷,戸建,1
2016/04/27,空き巣,鰭ヶ崎,集合住宅,1
2016/04/27,出店荒し,南流山1丁目,,1
2016/04/27,自転車盗,南流山2丁目,,1
